trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
329,False,"{'a': 0.6, 'e': 9.238643397603495e-06}",20,0,23.226322609535746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.6, 'e': 9.182736455463728e-06}",20,11,15.341331745624268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.6, 'e': 9.127335456960049e-06}",20,0,23.20332004815538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
332,False,"{'a': 0.6, 'e': 9.072434315575554e-06}",25,20,10.295335589247152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.6, 'e': 9.018027036045055e-06}",30,0,36.88210140390796,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
334,False,"{'a': 0.6, 'e': 8.964107712718276e-06}",25,9,-17.209066971993,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
335,False,"{'a': 0.6, 'e': 8.910670527957229e-06}",20,0,25.971045229473717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
336,False,"{'a': 0.6, 'e': 8.857709750566894e-06}",30,0,42.741586363403584,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
337,False,"{'a': 0.6, 'e': 8.805219734258468e-06}",25,0,26.150784023571813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
338,False,"{'a': 0.6, 'e': 8.753194916144393e-06}",25,0,-11.620959897730364,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
339,False,"{'a': 0.6, 'e': 8.7016298152644e-06}",30,9,34.92140510696246,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.6, 'e': 8.65051903114187e-06}",25,0,29.07710401981491,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
341,False,"{'a': 0.6, 'e': 8.599857242369777e-06}",20,0,23.982556961873552,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.6, 'e': 8.54963920522554e-06}",25,0,26.460636839347913,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.6, 'e': 8.499859752314087e-06}",25,0,28.392656063596664,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
344,False,"{'a': 0.6, 'e': 8.450513791238508e-06}",20,0,22.49009078839449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,False,"{'a': 0.6, 'e': 8.401596303297626e-06}",25,16,12.408135249187144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.6, 'e': 8.353102342209896e-06}",30,0,43.86838029506351,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
347,False,"{'a': 0.6, 'e': 8.305027032862993e-06}",30,0,36.20494839788484,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
348,False,"{'a': 0.6, 'e': 8.25736557008852e-06}",20,0,22.23185884776096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
349,False,"{'a': 0.6, 'e': 8.210113217461269e-06}",20,0,26.632445594243634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
350,False,"{'a': 0.6, 'e': 8.163265306122448e-06}",25,20,11.103261405439707,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 8.11681723362635e-06}",20,2,-1.84874923635038,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
352,False,"{'a': 0.6, 'e': 8.070764462809918e-06}",20,0,27.745028885010434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.6, 'e': 8.025102520684701e-06}",30,0,42.0747278965583,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.6, 'e': 7.979826997350698e-06}",25,10,25.654664054297413,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6, 'e': 7.934933544931562e-06}",35,14,25.827743143404373,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.6, 'e': 7.89041787653074e-06}",30,9,-8.868988083809604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
357,False,"{'a': 0.6, 'e': 7.846275765208045e-06}",30,0,37.31774125785887,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
358,False,"{'a': 0.6, 'e': 7.802503042976187e-06}",25,0,32.35897145858089,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.6, 'e': 7.759095599816886e-06}",20,0,13.021113419145381,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
360,False,"{'a': 0.6, 'e': 7.71604938271605e-06}",25,0,29.566170151957984,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
361,False,"{'a': 0.6, 'e': 7.673360394717659e-06}",20,0,23.014138119432186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.6, 'e': 7.631024693995909e-06}",30,0,35.63255689682237,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
363,False,"{'a': 0.6, 'e': 7.5890383929452295e-06}",20,0,21.789947436789976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.6, 'e': 7.547397657287767e-06}",20,9,14.444920638496342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.6, 'e': 7.5060987051979735e-06}",20,0,20.524915009531654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.6, 'e': 7.465137806443907e-06}",35,0,41.857458705120834,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
367,False,"{'a': 0.6, 'e': 7.4245112815448925e-06}",25,0,33.297758041951994,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
