trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
683,False,"{'a': 0.6, 'e': 2.1436732698948956e-06}",30,18,21.211835263978077,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.6, 'e': 2.137409801306385e-06}",25,8,29.56791125962471,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.6, 'e': 2.1311737439394745e-06}",20,6,25.736955147131003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.6, 'e': 2.1249649380785217e-06}",20,0,32.99382081879019,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
687,False,"{'a': 0.6, 'e': 2.1187832251694498e-06}",25,16,16.15615707165567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.6, 'e': 2.112628447809627e-06}",20,10,19.312117438673326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.6, 'e': 2.106500449737846e-06}",25,13,21.847783312983704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.6, 'e': 2.1003990758244065e-06}",35,15,36.937230179612826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.6, 'e': 2.094324172061297e-06}",25,18,14.050477725330431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.6, 'e': 2.088275585552474e-06}",30,12,33.26776445567386,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.6, 'e': 2.0822531645042466e-06}",20,13,11.683583367366975,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.6, 'e': 2.076256758215748e-06}",25,20,10.036332567820374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.6, 'e': 2.07028621706951e-06}",25,5,36.200806319010134,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.6, 'e': 2.06434139252213e-06}",25,7,30.066171135225105,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.6, 'e': 2.0584221370950314e-06}",20,3,28.95503162485335,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.6, 'e': 2.0525283043653173e-06}",20,0,29.99744129626481,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
699,False,"{'a': 0.6, 'e': 2.046659748956715e-06}",35,15,30.80123073010616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.6, 'e': 2.040816326530612e-06}",20,0,28.669693070708057,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
701,False,"{'a': 0.6, 'e': 2.03499789377718e-06}",25,10,28.326401425314383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.6, 'e': 2.0292043084065876e-06}",20,0,32.027931584125895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
703,False,"{'a': 0.6, 'e': 2.023435429140303e-06}",20,2,28.27178233876237,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.6, 'e': 2.0176911157024794e-06}",25,9,24.664870981017167,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.6, 'e': 2.011971228811428e-06}",20,10,22.03882196679196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.6, 'e': 2.0062756301711753e-06}",20,10,18.243061755924558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.6, 'e': 2.000604182463104e-06}",20,16,9.15263716003665,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.6, 'e': 1.9949567493376744e-06}",30,18,22.569954048557737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.6, 'e': 1.989333195406232e-06}",25,11,28.69590009199109,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.6, 'e': 1.9837333862328904e-06}",35,21,23.50626590040922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.6, 'e': 1.9781571883264987e-06}",20,0,32.926327782969246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
712,False,"{'a': 0.6, 'e': 1.972604469132685e-06}",30,16,27.406535372086893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
