trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
661,False,"{'a': 0.5, 'e': 2.288743273955704e-06}",20,12,15.668770084703228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.5, 'e': 2.2818338642400122e-06}",20,9,21.10152339568468,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.5, 'e': 2.274955695237835e-06}",30,16,25.635093633105907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 2.2681085788938886e-06}",20,0,31.40241095573285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
665,False,"{'a': 0.5, 'e': 2.261292328565775e-06}",25,4,30.20981019120348,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.5, 'e': 2.2545067590112637e-06}",35,12,37.62660515764664,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.5, 'e': 2.247751686375703e-06}",35,6,46.807842480842815,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 2.241026928179569e-06}",20,0,31.086072406734665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
669,False,"{'a': 0.5, 'e': 2.2343323033061413e-06}",20,0,3.8719389747225796,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
670,False,"{'a': 0.5, 'e': 2.2276676319893072e-06}",25,7,32.14057685564802,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 2.221032735801493e-06}",30,23,13.02686188664621,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.5, 'e': 2.2144274376417234e-06}",25,5,19.38590878160011,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
673,False,"{'a': 0.5, 'e': 2.2078515617238024e-06}",35,24,22.19760947501304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 2.201304933564617e-06}",25,17,17.509413534164032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 2.194787379972565e-06}",20,16,7.093687920951234,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 2.1882987290360982e-06}",20,2,-7.3688006182529975,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
677,False,"{'a': 0.5, 'e': 2.1818388101123864e-06}",25,8,29.00130728121028,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.5, 'e': 2.1754074538161e-06}",25,18,14.191953988236207,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 2.169004492008303e-06}",30,0,39.833537604976584,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
680,False,"{'a': 0.5, 'e': 2.1626297577854673e-06}",25,12,26.586914041850406,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 2.1562830854685926e-06}",20,13,10.810615343894343,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 2.149964310592444e-06}",25,7,27.016702310755978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 2.1436732698948956e-06}",20,8,-17.27648171583485,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
684,False,"{'a': 0.5, 'e': 2.137409801306385e-06}",25,14,22.64807193568508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.5, 'e': 2.1311737439394745e-06}",25,3,36.770074580364856,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 2.1249649380785217e-06}",30,17,23.186298858152547,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 2.1187832251694498e-06}",30,13,28.731533305114546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 2.112628447809627e-06}",20,11,15.703806760655416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 2.106500449737846e-06}",20,11,18.134357661900708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 2.1003990758244065e-06}",20,10,19.698680977591813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 2.094324172061297e-06}",25,17,15.733980316026798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 2.088275585552474e-06}",20,12,16.87914892380177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 2.0822531645042466e-06}",20,13,13.010664981519598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 2.076256758215748e-06}",25,15,17.40948672906469,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.5, 'e': 2.07028621706951e-06}",30,24,10.439798119049511,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 2.06434139252213e-06}",25,17,15.618111708799084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 2.0584221370950314e-06}",25,16,18.805330070257252,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 2.0525283043653173e-06}",25,5,29.673138279251624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 2.046659748956715e-06}",20,12,14.508629499218186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 2.040816326530612e-06}",25,7,30.04562859746689,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 2.03499789377718e-06}",25,17,16.335605225771086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 2.0292043084065876e-06}",20,15,9.96176598692135,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 2.023435429140303e-06}",25,11,28.269027330206818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 2.0176911157024794e-06}",30,15,31.713513099077783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 2.011971228811428e-06}",20,0,33.0884216755024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
706,False,"{'a': 0.5, 'e': 2.0062756301711753e-06}",30,15,25.339332451344635,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 2.000604182463104e-06}",25,0,40.21531979492425,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
708,False,"{'a': 0.5, 'e': 1.9949567493376744e-06}",30,16,23.54592529531833,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 1.989333195406232e-06}",20,8,20.08242560434854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 1.9837333862328904e-06}",25,15,15.324991912914475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 1.9781571883264987e-06}",20,9,22.271986193119027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 1.972604469132685e-06}",20,10,21.319027273926146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 1.9670750970259793e-06}",20,8,23.137456861313943,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 1.961568941302011e-06}",25,11,26.95935725194524,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 1.9560858721697884e-06}",25,12,25.53874122441434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 1.9506257607440467e-06}",20,11,14.806015862404744,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
